,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Campina,-1.4494157400000005,-48.49770464,Restaurante Largo da Palmeira,-1.4511076863376615,-48.4981714358287,Brazilian Restaurant
1,Campina,-1.4494157400000005,-48.49770464,Point do Açaí,-1.4485810025990384,-48.498601517719564,Acai House
2,Campina,-1.4494157400000005,-48.49770464,Teatro Maria Sylvia Nunes,-1.4484616507730093,-48.49911867433996,Theater
3,Campina,-1.4494157400000005,-48.49770464,Instituto Arraial do Pavulagem,-1.4485493700247254,-48.49863819939932,Performing Arts Venue
4,Campina,-1.4494157400000005,-48.49770464,Café do Murilo,-1.4499274924042784,-48.49889408016284,Breakfast Spot
5,Campina,-1.4494157400000005,-48.49770464,Govinda,-1.4518678779791172,-48.49846815113254,Vegetarian / Vegan Restaurant
6,Campina,-1.4494157400000005,-48.49770464,Estação das Docas,-1.4484473892775478,-48.500153772355034,General Entertainment
7,Campina,-1.4494157400000005,-48.49770464,Delicidade,-1.4504843214211165,-48.49706495308421,Deli / Bodega
8,Campina,-1.4494157400000005,-48.49770464,Espaço Vida Saudável - Manoel Barata,-1.4507645059257632,-48.49757164227415,Brazilian Restaurant
9,Campina,-1.4494157400000005,-48.49770464,Cine Estação,-1.4484383382351198,-48.49926514929548,Indie Movie Theater
10,Campina,-1.4494157400000005,-48.49770464,Sorveteria Cairu,-1.4488651296910586,-48.50041560157475,Ice Cream Shop
11,Campina,-1.4494157400000005,-48.49770464,SBB - Sociedade Bíblica do Brasil,-1.4489933170004943,-48.49542780504872,Bookstore
12,Campina,-1.4494157400000005,-48.49770464,Amazon Beer,-1.4494653521748608,-48.50092739837306,Brewery
13,Campina,-1.4494157400000005,-48.49770464,Lá em Casa,-1.4486989060181108,-48.500262520950976,Brazilian Restaurant
14,Campina,-1.4494157400000005,-48.49770464,Spazzio a Bordo,-1.4485630286536075,-48.49954097343362,Seafood Restaurant
15,Campina,-1.4494157400000005,-48.49770464,Associação Fotoativa,-1.4508515561044122,-48.50061615501671,Art Gallery
16,Campina,-1.4494157400000005,-48.49770464,Praça da República,-1.452409840822532,-48.494797837967845,Plaza
17,Campina,-1.4494157400000005,-48.49770464,Açaí Mix,-1.4486422668860344,-48.500174123574304,Acai House
18,Campina,-1.4494157400000005,-48.49770464,Igreja De Nossa Senhora De Sant'Ana,-1.4515860570723234,-48.498796554986264,Church
19,Campina,-1.4494157400000005,-48.49770464,Teatro Waldemar Henrique,-1.4521426748558508,-48.49445700645447,Theater
20,Campina,-1.4494157400000005,-48.49770464,TI - SOCIC,-1.4499142606061184,-48.49886401322363,Department Store
21,Campina,-1.4494157400000005,-48.49770464,Capone Ristorante,-1.4487663008897027,-48.50031831351147,Italian Restaurant
22,Campina,-1.4494157400000005,-48.49770464,Ouriço,-1.4508225322546557,-48.5005836653722,Bar
23,Campina,-1.4494157400000005,-48.49770464,Cine Estação das Docas,-1.4478213096274766,-48.49953368772318,Indie Movie Theater
24,Campina,-1.4494157400000005,-48.49770464,Fabrika Studio,-1.4536138953124262,-48.49804436997417,Music Venue
25,Campina,-1.4494157400000005,-48.49770464,Rei do Bacalhau,-1.4522992835923203,-48.500493745926875,Portuguese Restaurant
26,Campina,-1.4494157400000005,-48.49770464,Dona Joana Restaurante 100% Sem Gluten,-1.4537783044121704,-48.49860948930333,Restaurant
27,Campina,-1.4494157400000005,-48.49770464,Centro Comercial de Belém,-1.4528278450591035,-48.499616690774154,Shopping Plaza
28,Campina,-1.4494157400000005,-48.49770464,Riachuelo,-1.4517553243775754,-48.500953205613506,Clothing Store
29,Campina,-1.4494157400000005,-48.49770464,Restô das Docas,-1.4485461947186187,-48.50008507164755,Brazilian Restaurant
30,Campina,-1.4494157400000005,-48.49770464,Lanchonete Cairu,-1.4491873442946568,-48.50069213974885,Burger Joint
31,Campina,-1.4494157400000005,-48.49770464,Tio Armênio,-1.4485082398974891,-48.50012466878166,Portuguese Restaurant
32,Campina,-1.4494157400000005,-48.49770464,Point da Eletrônica,-1.4529626381237732,-48.49842809029076,Electronics Store
33,Campina,-1.4494157400000005,-48.49770464,Teatro Cuíra,-1.4528568266917063,-48.4964084088545,Theater
34,Campina,-1.4494157400000005,-48.49770464,Frutaria do Val,-1.452932330496215,-48.494966656489986,Juice Bar
35,Campina,-1.4494157400000005,-48.49770464,Bio Mercato,-1.448774018704822,-48.50030649773744,Vegetarian / Vegan Restaurant
36,Campina,-1.4494157400000005,-48.49770464,Marujos,-1.4498871300775529,-48.50127751159244,Brewery
37,Campina,-1.4494157400000005,-48.49770464,Globo Esporte,-1.4511338945643504,-48.500905695344734,Sporting Goods Shop
38,Campina,-1.4494157400000005,-48.49770464,Amazônia Zen,-1.449421411061482,-48.500882292340016,Gift Shop
39,Campina,-1.4494157400000005,-48.49770464,Bar Santiago,-1.4524166411834507,-48.499330714452924,Bar
40,Campina,-1.4494157400000005,-48.49770464,Praça das Mercês/Praça Visconde do Rio Branco,-1.4511247267856113,-48.50053265247061,Historic Site
41,Campina,-1.4494157400000005,-48.49770464,Mercadão da Eletrônica,-1.4523414772304841,-48.49931683021595,Electronics Store
42,Campina,-1.4494157400000005,-48.49770464,Paris N'América,-1.4509559771951803,-48.4996557511077,Clothing Store
43,Campina,-1.4494157400000005,-48.49770464,Top Cases,-1.4533006118563443,-48.49994367435754,Electronics Store
44,Campina,-1.4494157400000005,-48.49770464,Restô Ver-o-Centro,-1.451675816870228,-48.499984346983545,Restaurant
45,Campina,-1.4494157400000005,-48.49770464,Soprano Restô,-1.448484444403127,-48.50005131306929,Buffet
46,Campina,-1.4494157400000005,-48.49770464,Hope Skatehouse,-1.453537231421791,-48.49795665346227,Board Shop
47,Campina,-1.4494157400000005,-48.49770464,Banca do Sucesso,-1.4512513646262908,-48.50085206630368,Electronics Store
48,Campina,-1.4494157400000005,-48.49770464,Tip Eletronica,-1.4520767566513826,-48.499961341483186,Hardware Store
49,Campina,-1.4494157400000005,-48.49770464,Rei das Armas,-1.4525810712518754,-48.49942050937622,Hobby Shop
50,Campina,-1.4484337833333332,-48.49568556666666,SBB - Sociedade Bíblica do Brasil,-1.4489933170004943,-48.49542780504872,Bookstore
51,Campina,-1.4484337833333332,-48.49568556666666,Point do Açaí,-1.4485810025990384,-48.498601517719564,Acai House
52,Campina,-1.4484337833333332,-48.49568556666666,Delicidade,-1.4504843214211165,-48.49706495308421,Deli / Bodega
53,Campina,-1.4484337833333332,-48.49568556666666,Instituto Arraial do Pavulagem,-1.4485493700247254,-48.49863819939932,Performing Arts Venue
54,Campina,-1.4484337833333332,-48.49568556666666,Restaurante Largo da Palmeira,-1.4511076863376615,-48.4981714358287,Brazilian Restaurant
55,Campina,-1.4484337833333332,-48.49568556666666,Teatro Maria Sylvia Nunes,-1.4484616507730093,-48.49911867433996,Theater
56,Campina,-1.4484337833333332,-48.49568556666666,Instituto Iacitata,-1.4483630000066672,-48.49240158771617,Art Gallery
57,Campina,-1.4484337833333332,-48.49568556666666,Espaço Vida Saudável - Manoel Barata,-1.4507645059257632,-48.49757164227415,Brazilian Restaurant
58,Campina,-1.4484337833333332,-48.49568556666666,Café do Murilo,-1.4499274924042784,-48.49889408016284,Breakfast Spot
59,Campina,-1.4484337833333332,-48.49568556666666,Praça da República,-1.452409840822532,-48.494797837967845,Plaza
60,Campina,-1.4484337833333332,-48.49568556666666,Teatro Waldemar Henrique,-1.4521426748558508,-48.49445700645447,Theater
61,Campina,-1.4484337833333332,-48.49568556666666,Cine Estação,-1.4484383382351198,-48.49926514929548,Indie Movie Theater
62,Campina,-1.4484337833333332,-48.49568556666666,Estação das Docas,-1.4484473892775478,-48.500153772355034,General Entertainment
63,Campina,-1.4484337833333332,-48.49568556666666,Govinda,-1.4518678779791172,-48.49846815113254,Vegetarian / Vegan Restaurant
64,Campina,-1.4484337833333332,-48.49568556666666,Usina 265,-1.444905130764169,-48.49467903347603,Lounge
65,Campina,-1.4484337833333332,-48.49568556666666,Nova IService Belem,-1.4491867620160563,-48.49161653541463,Mobile Phone Shop
66,Campina,-1.4484337833333332,-48.49568556666666,A Bijou,-1.4479447908114877,-48.491248170008475,Bakery
67,Campina,-1.4484337833333332,-48.49568556666666,LaMusique,-1.4448205173510094,-48.494249159353636,Nightclub
68,Campina,-1.4484337833333332,-48.49568556666666,Spazzio a Bordo,-1.4485630286536075,-48.49954097343362,Seafood Restaurant
69,Campina,-1.4484337833333332,-48.49568556666666,Açaí Mix,-1.4486422668860344,-48.500174123574304,Acai House
70,Campina,-1.4484337833333332,-48.49568556666666,TI - SOCIC,-1.4499142606061184,-48.49886401322363,Department Store
71,Campina,-1.4484337833333332,-48.49568556666666,Cine Estação das Docas,-1.4478213096274766,-48.49953368772318,Indie Movie Theater
72,Campina,-1.4484337833333332,-48.49568556666666,Igreja De Nossa Senhora De Sant'Ana,-1.4515860570723234,-48.498796554986264,Church
