,zip/postalcode,city,neighborhood,address,Latitudes,Longitudes
0,66010-000,Belém/PA,Campina,Avenida Presidente Vargas - até 379/380,-1.4494157400000003,-48.49770464
1,66010-010,Belém/PA,Campina,Avenida Assis de Vasconcelos - até 447/448,-1.4484337833333332,-48.49568556666666
2,66010-020,Belém/PA,Campina,Boulevard Castilhos França - de 348/349 a 1052/1053,-1.44927695,-48.4994868
3,66010-050,Belém/PA,Campina,Travessa Frei Gil de Vila Nova - até 264/265,-1.4492502571428572,-48.496369800000004
4,66010-051,Belém/PA,Campina,Travessa Frei Gil de Vila Nova - de 266/267 ao fim,-1.4503882624999997,-48.495497725
5,66010-060,Belém/PA,Campina,Rua Gaspar Viana - até 575/576,-1.4495587833333332,-48.499296783333335
6,66010-095,Belém/PA,Campina,Rua Santo Antônio - até 262/263,-1.4506927250000001,-48.499584725000005
7,66010-100,Belém/PA,Campina,Rua Vinte e Oito de Setembro - de 263/264 a 457/458,-1.4492380999999999,-48.496617525000005
8,66010-105,Belém/PA,Campina,Rua Santo Antônio - de 264/265 ao fim,-1.449279325,-48.497971025000005
9,66010-120,Belém/PA,Campina,Rua da Indústria,-1.4501451,-48.5003981
10,66010-130,Belém/PA,Campina,Travessa Leão XIII,-1.4504909499999998,-48.499687975
11,66010-145,Belém/PA,Campina,Rua Senador Manoel Barata - de 422/423 a 736/737,-1.451763425,-48.498603875
12,66010-146,Belém/PA,Campina,Rua Senador Manoel Barata - de 738/739 a 866/867,-1.450523825,-48.497304850000006
13,66010-147,Belém/PA,Campina,Rua Senador Manoel Barata - de 868/869 a 1080/1081,-1.449521625,-48.49601805
14,66010-150,Belém/PA,Campina,Travessa Padre Prudêncio - até 71/72,-1.450993725,-48.499038225
15,66010-900,Belém/PA,Campina,Avenida Presidente Vargas 248 ,-1.4496383,-48.4978929
16,66010-902,Belém/PA,Campina,Avenida Presidente Vargas 197 ,-1.4494131,-48.4975737
17,66013-000,Belém/PA,Campina,Rua Conselheiro João Alfredo - até 318/319,-1.452960125,-48.5019722
18,66013-010,Belém/PA,Campina,Travessa Frutuoso Guimarães - até 109/110,-1.4509087999999999,-48.501191799999994
19,66013-020,Belém/PA,Campina,Travessa Campos Sales - até 197/198,-1.4517156999999998,-48.5013436
20,66013-030,Belém/PA,Campina,Boulevard Castilhos França - até 346/347,-1.4517864,-48.50261195
21,66013-040,Belém/PA,Campina,Travessa Ocidental do Mercado,-1.45262255,-48.503211199999996
22,66013-050,Belém/PA,Campina,Travessa Oriental do Mercado,-1.4521989999999998,-48.50261225
23,66013-060,Belém/PA,Campina,Rua Quinze de Novembro,-1.45221775,-48.502222
24,66013-070,Belém/PA,Campina,Travessa Sete de Setembro - até 140/141,-1.4532078250000002,-48.50211675
25,66013-080,Belém/PA,Campina,Rua Treze de Maio - até 313/314,-1.453695475,-48.501246
26,66013-085,Belém/PA,Campina,Travessa Sete de Setembro - de 142/143 a 229/230,-1.4538842250000001,-48.501379775000004
27,66013-090,Belém/PA,Campina,Travessa Padre Eutíquio - até 378/379,-1.4528604500000002,-48.500941575
28,66013-100,Belém/PA,Campina,Avenida Portugal - até 99/100,-1.4532657,-48.503370866666664
29,66015-000,Belém/PA,Campina,Travessa Padre Eutíquio - de 380/381 a 672/673,-1.4548877,-48.498275774999996
30,66015-020,Belém/PA,Campina,Rua Senador Manoel Barata - até 421 - lado ímpar,-1.4548285833333334,-48.50126723333333
31,66015-040,Belém/PA,Batista Campos,Rua Arciprestes Manoel Teodoro - de 545/546 ao fim,-1.45804128,-48.49439868
32,66015-050,Belém/PA,Campina,Praça da Bandeira,-1.4546645,-48.50016205
33,66015-051,Belém/PA,Campina,Travessa Primeiro de Março - de 18/19 a 240/241,-1.45010955,-48.498698275
34,66015-052,Belém/PA,Campina,Travessa Primeiro de Março - de 242/243 a 544/545,-1.4519114,-48.49694945
35,66015-053,Belém/PA,Campina,Travessa Primeiro de Março - de 546/547 ao fim,-1.45373164,-48.494791760000005
36,66015-055,Belém/PA,Campina,Travessa Frutuoso Guimarães - de 301/302 a 646/647,-1.4532728750000001,-48.4981102
37,66015-060,Belém/PA,Campina,Praça Barão do Rio Branco,-1.4509267000000001,-48.50033905
38,66015-070,Belém/PA,Campina,Rua Caetano Rufino,-1.4549813,-48.49408807500001
39,66015-080,Belém/PA,Campina,Vila Campos Sales,-1.4555231750000002,-48.495689475000006
40,66015-090,Belém/PA,Campina,Travessa Campos Sales - de 621/622 ao fim,-1.45546215,-48.496256775
41,66015-110,Belém/PA,Campina,Vila Fiúza,-1.45606495,-48.495910425
42,66015-130,Belém/PA,Batista Campos,Rua Gama Abreu,-1.4558464322580646,-48.494423838709686
43,66015-135,Belém/PA,Batista Campos,Rua Ferreira Cantão - de 326/327 ao fim,-1.456353625,-48.493461775
44,66015-140,Belém/PA,Batista Campos,Avenida Gentil Bittencourt - até 136/137,-1.45764815,-48.491408675
45,66015-165,Belém/PA,Campina,Rua João Diogo - até 149/150,-1.4569163333333333,-48.50226670000001
46,66015-170,Belém/PA,Batista Campos,Rua Monsenhor Miguel Inácio,-1.4571052666666668,-48.49385746666667
47,66015-175,Belém/PA,Campina,Rua João Diogo - de 151/152 ao fim,-1.455738342857143,-48.5000609
48,66015-180,Belém/PA,Campina,Travessa Padre Prudêncio - de 588/589 ao fim,-1.45516925,-48.4952174
49,66015-190,Belém/PA,Campina,Avenida Portugal - de 101/102 ao fim,-1.4548195333333334,-48.502273833333334
50,66015-200,Belém/PA,Batista Campos,Travessa Presidente Pernambuco,-1.4578068068480263,-48.49211437644325
51,66015-210,Belém/PA,Campina,Travessa Sete de Setembro - de 231/232 ao fim,-1.4545009,-48.500650225
52,66015-220,Belém/PA,Campina,Rua Silva Santos,-1.45431425,-48.494618525
53,66015-255,Belém/PA,Cidade Velha,Avenida Bernardo Sayão - de 59/60 a 195/196,-1.4674553000000001,-48.5016264
54,66015-280,Belém/PA,Campina,Rua Ferreira Cantão - de 131/132 a 324/325,-1.4547047000000002,-48.494681299999996
55,66015-350,Belém/PA,Campina,Rua Desembargador Ignácio Guilhon,-1.4558845,-48.5015193
56,66017-000,Belém/PA,Campina,Avenida Presidente Vargas - de 381/382 ao fim,-1.45236524,-48.49544996
57,66017-010,Belém/PA,Campina,Rua Aristides Lobo - até 654/655,-1.4522508250000001,-48.496781325
58,66017-040,Belém/PA,Campina,Rua General Gurjão,-1.4536397666666667,-48.4964177
59,66017-050,Belém/PA,Campina,Rua Ó de Almeida - até 383/384,-1.45257135,-48.498094775000006
60,66017-070,Belém/PA,Campina,Avenida Assis de Vasconcelos - de 449/450 ao fim,-1.4507821799999998,-48.49432879999999
61,66017-080,Belém/PA,Campina,Rua Carlos Gomes,-1.454767775,-48.495836950000005
62,66017-100,Belém/PA,Campina,Rua Riachuelo,-1.45340128,-48.497056580000006
63,66017-110,Belém/PA,Campina,Rua Ferreira Cantão - até 129/130,-1.4536851,-48.495665375
64,66017-170,Belém/PA,Campina,Travessa Frutuoso Guimarães - de 648/649 ao fim,-1.454505625,-48.496433775
65,66017-180,Belém/PA,Campina,Travessa Campos Sales - de 429/430 a 619/620,-1.4540745750000001,-48.4981343
66,66017-200,Belém/PA,Campina,Travessa Padre Prudêncio - de 480/481 a 586/587,-1.454216025,-48.49617095
67,66017-900,Belém/PA,Campina,Avenida Presidente Vargas 498 ,-1.4515421,-48.4967184
68,66017-901,Belém/PA,Campina,Avenida Presidente Vargas 800 ,-1.4533171,-48.4945348
69,66017-902,Belém/PA,Campina,Avenida Presidente Vargas 762 ,-1.4530543,-48.49498
70,66017-903,Belém/PA,Campina,Avenida Presidente Vargas 730 ,-1.4529551,-48.495141
71,66017-904,Belém/PA,Campina,Avenida Presidente Vargas 882 ,-1.45365545,-48.49428745
72,66017-905,Belém/PA,Campina,Avenida Presidente Vargas 498 ,-1.4515045,-48.4967466
73,66017-970,Belém/PA,Campina,Avenida Presidente Vargas 498 ,-1.4514536,-48.4967855
74,66019-020,Belém/PA,Campina,Rua Treze de Maio - de 315/316 ao fim,-1.4518070250000001,-48.499620375
75,66019-030,Belém/PA,Campina,Praça Barão de Guajará,-1.45109965,-48.499458
76,66019-040,Belém/PA,Campina,Travessa Frutuoso Guimarães - de 111/112 a 299/300,-1.4518798999999998,-48.4999998
77,66019-050,Belém/PA,Campina,Travessa Campos Sales - de 199/200 a 427/428,-1.4528552499999998,-48.49980065
78,66019-060,Belém/PA,Campina,Rua Conselheiro João Alfredo - de 320/321 ao fim,-1.4516953,-48.500809399999994
79,66019-080,Belém/PA,Campina,Travessa Padre Prudêncio - de 73/74 a 478/479,-1.45247715,-48.4977454
80,66019-100,Belém/PA,Campina,Rua Vinte e Oito de Setembro - até 261/262,-1.45034675,-48.49801372500001
81,66020-000,Belém/PA,Cidade Velha,Avenida Almirante Tamandaré - até 1250/1251,-1.4594905625,-48.5003147875
82,66020-020,Belém/PA,Cidade Velha,Travessa Alenquer,-1.4603985333333334,-48.50404495
83,66020-035,Belém/PA,Cidade Velha,Vila Porto do Sal,-1.4600955299999998,-48.50639498
84,66020-040,Belém/PA,Cidade Velha,Conjunto Antônia Jacob,-1.4629246999999999,-48.5021174
85,66020-060,Belém/PA,Cidade Velha,Rua do Arsenal - até 158/159,-1.46425025,-48.50303065
86,66020-090,Belém/PA,Cidade Velha,Travessa Bom Jardim - até 272/273,-1.46177728,-48.50097478
87,66020-100,Belém/PA,Cidade Velha,Travessa de Breves - até 266/267,-1.4628711666666667,-48.50284828333334
88,66020-120,Belém/PA,Cidade Velha,Rua Cametá,-1.4590363,-48.50329467500001
89,66020-130,Belém/PA,Cidade Velha,Praça do Carmo,-1.4581415,-48.505313900000004
90,66020-140,Belém/PA,Cidade Velha,Beco do Carmo,-1.4589667,-48.5061434
91,66020-180,Belém/PA,Cidade Velha,Travessa Capitão Pedro Albuquerque,-1.4589935,-48.502748374999996
92,66020-210,Belém/PA,Cidade Velha,Travessa Dom Bosco,-1.4585467799999998,-48.505548499999996
93,66020-220,Belém/PA,Cidade Velha,Vila Dom Bosco,-1.462820775,-48.501763350000004
94,66020-250,Belém/PA,Cidade Velha,Rua Doutor Malcher,-1.458635375,-48.504075575
95,66020-260,Belém/PA,Cidade Velha,Rua Doutor Rodrigues dos Santos,-1.4594300199999999,-48.50245188
96,66020-270,Belém/PA,Cidade Velha,Rua Doutor Assis - até 210/211,-1.4568987,-48.504947800000004
97,66020-280,Belém/PA,Cidade Velha,Travessa Félix Roque,-1.456399311111111,-48.50469947777778
98,66020-290,Belém/PA,Cidade Velha,Rua Doutor Assis - de 212/213 ao fim,-1.4611582242182448,-48.504595017715346
99,66020-320,Belém/PA,Cidade Velha,Travessa Gurupá,-1.4597700200000001,-48.50295638
100,66020-340,Belém/PA,Cidade Velha,Travessa Joaquim Távora - até 399/400,-1.4577064571428573,-48.504750585714284
101,66020-360,Belém/PA,Cidade Velha,Alameda Macedônia,-1.460816825,-48.50101335
102,66020-390,Belém/PA,Cidade Velha,Travessa Marquês de Pombal,-1.45412285,-48.50412105
103,66020-420,Belém/PA,Cidade Velha,Passagem Nélio Lobato,-1.4620234,-48.500125849999996
104,66020-445,Belém/PA,Cidade Velha,Rua Óbidos - até 80/81,-1.463267575,-48.50297385
105,66020-446,Belém/PA,Cidade Velha,Rua Óbidos - de 82/83 a 342/343,-1.46233915,-48.501698975
106,66020-447,Belém/PA,Cidade Velha,Rua Óbidos - de 344/345 a 502/503,-1.4612659250000002,-48.50026737499999
107,66020-448,Belém/PA,Cidade Velha,Rua Óbidos - de 504/505 ao fim,-1.4604166250000001,-48.499069725
108,66020-470,Belém/PA,Cidade Velha,Rua Padre Champagnat,-1.4555207181818182,-48.50480556363636
109,66020-550,Belém/PA,Cidade Velha,Rua São Boaventura,-1.4607625777777775,-48.50544781111111
110,66020-560,Belém/PA,Cidade Velha,Largo São João,-1.4575097000000001,-48.5030716
111,66020-600,Belém/PA,Cidade Velha,Rua Siqueira Mendes,-1.45681286,-48.50587409333334
112,66020-610,Belém/PA,Cidade Velha,Rua Tomázia Perdigão,-1.4561399000000002,-48.50357315
113,66020-625,Belém/PA,Cidade Velha,Rua Triunvirato - até 105/106,-1.4632867,-48.501137985714294
114,66020-630,Belém/PA,Cidade Velha,Vila Vitória,-1.4593632800000003,-48.50117782
115,66020-635,Belém/PA,Cidade Velha,Rua Triunvirato - de 107/108 a 367/368,-1.4633205249999999,-48.501030425
116,66020-640,Belém/PA,Cidade Velha,Passagem Lopo de Castro,-1.4632233000000001,-48.50168155
117,66020-645,Belém/PA,Cidade Velha,Rua Triunvirato - de 369/370 a 567/568,-1.4621209999999998,-48.499258700000006
118,66020-655,Belém/PA,Cidade Velha,Rua Triunvirato - de 570/571 ao fim,-1.46149115,-48.498529950000005
119,66020-680,Belém/PA,Cidade Velha,Travessa Carlos de Carvalho - até 458/459,-1.461911475,-48.499639699999996
120,66020-700,Belém/PA,Cidade Velha,Travessa Monte Alegre - até 256/257,-1.46201515,-48.50185476666667
121,66020-710,Belém/PA,Cidade Velha,Rua Ângelo Custódio - de 332/333 ao fim,-1.4609613333333333,-48.49926786666666
122,66020-830,Belém/PA,Cidade Velha,Vila Elza,-1.4594383400000002,-48.501577479999995
123,66023-040,Belém/PA,Cidade Velha,Travessa Monte Alegre - de 258/259 a 614/615,-1.46470316,-48.499842099999995
124,66023-045,Belém/PA,Cidade Velha,Vila Lopo de Castro,-1.45829848,-48.501586880000005
125,66023-090,Belém/PA,Cidade Velha,Rua Ângelo Custódio - até 330/331,-1.4576930500000003,-48.50116161666667
126,66023-110,Belém/PA,Cidade Velha,Rua do Arsenal - de 160/161 ao fim,-1.464206,-48.502995825
127,66023-120,Belém/PA,Campina,Rua Avertano Rocha,-1.4566375272727272,-48.49863148181817
128,66023-130,Belém/PA,Cidade Velha,Avenida Bernardo Sayão - até 57/58,-1.4669946,-48.502048325
129,66023-140,Belém/PA,Cidade Velha,Travessa Bom Jardim - de 274/275 a 590/591,-1.4638836,-48.49934532499999
130,66023-150,Belém/PA,Cidade Velha,Travessa de Breves - de 268/269 a 680/681,-1.46500705,-48.501011000000005
131,66023-170,Belém/PA,Cidade Velha,Rua Cesário Alvim,-1.46564995,-48.499036024999995
132,66023-180,Belém/PA,Batista Campos,Vila Corina,-1.458809825,-48.49690185
133,66023-185,Belém/PA,Batista Campos,Travessa São Francisco - de 351/352 ao fim,-1.4600714249999998,-48.49653705
134,66023-220,Belém/PA,Cidade Velha,Avenida Dezesseis de Novembro,-1.4596692,-48.498712325
135,66023-270,Belém/PA,Campina,Passagem Manoel Pedro,-1.4572922,-48.498096775
136,66023-350,Belém/PA,Jurunas,Vila Nossa Senhora da Conceição,-1.4665683,-48.501200075
137,66023-530,Belém/PA,Campina,Travessa São Francisco - até 349/350,-1.4572265,-48.49885585
138,66023-570,Belém/PA,Campina,Travessa São Pedro - até 349/350,-1.4565917,-48.497981425
139,66023-620,Belém/PA,Cidade Velha,Praça Veiga Cabral,-1.4656664666666666,-48.49991886666666
140,66023-630,Belém/PA,Cidade Velha,Rua Veiga Cabral - até 167/168,-1.46575156,-48.50159006
141,66023-680,Belém/PA,Cidade Velha,Vila Abelardo Conduru,-1.46364895,-48.4978299
142,66023-690,Belém/PA,Batista Campos,Vila Antônio Marques,-1.4610056333333334,-48.49495568333334
143,66023-700,Belém/PA,Batista Campos,Rua Arciprestes Manoel Teodoro - até 543/544,-1.4613886,-48.494806374999996
144,66023-705,Belém/PA,Batista Campos,Travessa São Pedro - de 351/352 a 655/656,-1.458438025,-48.495857975
145,66023-708,Belém/PA,Batista Campos,Rua Veiga Cabral - de 641/642 a 765/766,-1.4622858499999998,-48.49726855
146,66023-709,Belém/PA,Campina,Rua Veiga Cabral - de 767/768 a 1249/1250,-1.4597175999999998,-48.49516378
147,66023-710,Belém/PA,Batista Campos,Travessa Padre Eutíquio - de 674/675 a 1252/1253,-1.45684325,-48.495615725
148,66023-711,Belém/PA,Campina,Rua Veiga Cabral - de 1252/1253 ao fim,-1.4577686250000002,-48.493465549999996
149,66023-720,Belém/PA,Cidade Velha,Travessa Carlos de Carvalho - de 460/461 a 611/612,-1.463962025,-48.4981028
150,66023-725,Belém/PA,Cidade Velha,Rua Veiga Cabral - de 169/170 a 405/406,-1.4646464249999998,-48.5001956
151,66023-730,Belém/PA,Cidade Velha,Travessa Joaquim Távora - de 401/402 ao fim,-1.45760555,-48.50213365
152,66023-735,Belém/PA,Cidade Velha,Rua Veiga Cabral - de 407/408 a 639/640,-1.4633754500000002,-48.498552075
153,66023-780,Belém/PA,Batista Campos,Vila Guilherme Seixas,-1.4586020333333334,-48.4965429
154,66023-902,Belém/PA,Batista Campos,Travessa Padre Eutíquio 1122 ,-1.4578003,-48.4945643
155,66025-000,Belém/PA,Jurunas,Vila dos Mundurucus,-1.4693877,-48.49688975
156,66025-002,Belém/PA,Batista Campos,Travessa Apinagés - de 272/273 a 568/569,-1.4652200583333332,-48.48684625833334
157,66025-010,Belém/PA,Jurunas,Passagem Guadalajara,-1.4670643500000002,-48.495134924999995
158,66025-030,Belém/PA,Jurunas,Passagem Irmãos Pires,-1.467589175,-48.49585712499999
159,66025-075,Belém/PA,Jurunas,Passagem Bom Jardim,-1.4705952571428573,-48.49655295714285
160,66025-080,Belém/PA,Batista Campos,Travessa Apinagés - até 130/131,-1.46103506,-48.492268319999994
161,66025-085,Belém/PA,Jurunas,Vila Santa Fé,-1.46825215,-48.50008225
162,66025-125,Belém/PA,Jurunas,Rua dos Tamoios - de 550/551 a 1452/1453,-1.4652570999999999,-48.494854625
163,66025-130,Belém/PA,Jurunas,Travessa Carlos de Carvalho - de 613/614 a 858/859,-1.4656882599999999,-48.49614627999999
