Lotnames,Latitude,Longitude,price,area
lot 1,-23.59074943648983,-48.058830769786276,25000,1300
lot 2,-23.59967109045974,-48.062150837261825,12000,1622
lot 3,-23.602888103239625,-48.06223408927039,6500,1200
lot 4,-23.606396507086462,-48.061879739204564,25000,1500
lot 5,-23.602110107556154,-48.06156901143246,5500,1524
lot 6,-23.584074248849525,-48.041323345322574,6000,364
lot 7,-23.585157720530173,-48.03572693260946,7000,388
lot 8,-23.586283474220455,-48.03404864910828,15000,1024
lot 9,-23.582544063858528,-48.035505931191885,5000,425
lot 10,-23.578440309353347,-48.0269883556388,8000,900
lot 11,-23.577770416950585,-48.025248375030294,6000,733
lot 12,-23.579241787499246,-48.02959726300339,350000,4038



