,address_components,formatted_address,place_id,types,geometry.bounds.northeast.lat,geometry.bounds.northeast.lng,geometry.bounds.southwest.lat,geometry.bounds.southwest.lng,geometry.location.lat,geometry.location.lng,geometry.location_type,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,partial_match
0,"[{'long_name': 'Aeroporto', 'short_name': 'Aeroporto', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Aeroporto, Belém - PA, Brazil",ChIJffGZlDZrpJIROa2KpIvpy-0,"['political', 'sublocality', 'sublocality_level_1']",-1.1358189,-48.4505679,-1.1460089,-48.45929599999999,-1.1417769,-48.4554273,APPROXIMATE,-1.1358189,-48.4505679,-1.1460089,-48.45929599999999,
1,"[{'long_name': 'Água Boa', 'short_name': 'Água Boa', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Água Boa, Belém - PA, Brazil",ChIJl_gD0PJopJIR6ECQpt0XpD4,"['political', 'sublocality', 'sublocality_level_1']",-1.2181707,-48.43247789999999,-1.2640019,-48.47327600000001,-1.2509242,-48.4537424,APPROXIMATE,-1.2181707,-48.43247789999999,-1.2640019,-48.47327600000001,True
2,"[{'long_name': 'Águas Lindas', 'short_name': 'Águas Lindas', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Águas Lindas, Belém - PA, Brazil",ChIJE-QDqs70pJIRf7CVFNuekTI,"['political', 'sublocality', 'sublocality_level_1']",-1.4000138,-48.3905628,-1.4114051,-48.39791,-1.4055292,-48.39507580000001,APPROXIMATE,-1.4000138,-48.3905628,-1.4114051,-48.39791,True
3,"[{'long_name': 'Águas Negras (Icoaraci)', 'short_name': 'Águas Negras (Icoaraci)', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '66820-180', 'short_name': '66820-180', 'types': ['postal_code']}]","Águas Negras (Icoaraci), Belém - PA, 66820-180, Brazil",ChIJ-_k1nMZmpJIRv0mn7ZSRQN8,"['political', 'sublocality', 'sublocality_level_1']",,,,,-1.3030878,-48.4539157,APPROXIMATE,-1.2919327,-48.4379083,-1.3142429,-48.4699231,
4,"[{'long_name': 'Agulha (Icoaraci)', 'short_name': 'Agulha (Icoaraci)', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '66811-033', 'short_name': '66811-033', 'types': ['postal_code']}]","Agulha (Icoaraci), Belém - PA, 66811-033, Brazil",ChIJufLAiKhmpJIRE8_2LpkEBlI,"['political', 'sublocality', 'sublocality_level_1']",,,,,-1.3077355,-48.4681828,APPROXIMATE,-1.2965804,-48.45217539999999,-1.3188906,-48.4841902,
5,"[{'long_name': 'Arirambá', 'short_name': 'Arirambá', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Arirambá, Belém - PA, Brazil",ChIJrXlJgxcVpJIRvqYyqzi7ciw,"['political', 'sublocality', 'sublocality_level_1']",-1.1099805,-48.4153659,-1.1319029,-48.43600259999999,-1.120125,-48.4292816,APPROXIMATE,-1.1099805,-48.4153659,-1.1319029,-48.43600259999999,
6,"[{'long_name': 'Aura', 'short_name': 'Aura', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Ananindeua', 'short_name': 'Ananindeua', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}, {'long_name': '66030-410', 'short_name': '66030-410', 'types': ['postal_code']}]","Aura, Ananindeua - PA, 66030-410, Brazil",ChIJU2KKQtv0pJIR7Kwp10yLEEg,"['political', 'sublocality', 'sublocality_level_1']",,,,,-1.4082852,-48.3974917,APPROXIMATE,-1.3971306,-48.3814843,-1.4194398,-48.4134991,
7,"[{'long_name': 'Aura', 'short_name': 'Aura', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Ananindeua', 'short_name': 'Ananindeua', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Aura, Ananindeua - PA, Brazil",ChIJmQF6rbP0pJIRXs0msrY7KgY,"['political', 'sublocality', 'sublocality_level_1']",-1.4030313,-48.3712065,-1.4453933,-48.4007452,-1.4263415,-48.3863436,APPROXIMATE,-1.4030313,-48.3712065,-1.4453933,-48.4007452,
8,"[{'long_name': 'Baía do Sol', 'short_name': 'Baía do Sol', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Baía do Sol, Belém - PA, Brazil",ChIJI78N-DM8pJIRoSU5Anu56Tk,"['political', 'sublocality', 'sublocality_level_1']",-1.0556028,-48.328343,-1.0842029,-48.36983069999999,-1.0722709,-48.3528846,APPROXIMATE,-1.0556028,-48.328343,-1.0842029,-48.36983069999999,
9,"[{'long_name': 'Barreiro', 'short_name': 'Barreiro', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Belém', 'short_name': 'Belém', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Pará', 'short_name': 'PA', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Brazil', 'short_name': 'BR', 'types': ['country', 'political']}]","Barreiro, Belém - PA, Brazil",ChIJp1ZB7maJpJIRjQkOroW0KhA,"['political', 'sublocality', 'sublocality_level_1']",-1.4060179,-48.4730379,-1.4201206,-48.49594099999999,-1.4137485,-48.484351,APPROXIMATE,-1.4060179,-48.4730379,-1.4201206,-48.49594099999999,
