,Logradouro/Nome,Bairro/Distrito,Localidade/UF,CEP
0,Rua Saldanha Marinho,Centro,Itapetininga/SP,18200-001
1,Praça da Bandeira,Centro,Itapetininga/SP,18200-002
2,Praça Duque de Caxias,Centro,Itapetininga/SP,18200-003
3,Rua Campos Salles,Centro,Itapetininga/SP,18200-005
4,Praça Marechal Deodoro da Fonseca,Centro,Itapetininga/SP,18200-007
5,Rua Monsenhor Soares,Centro,Itapetininga/SP,18200-009
6,Rua Silva Jardim,Centro,Itapetininga/SP,18200-010
7,Praça Ruy Barbosa,Centro,Itapetininga/SP,18200-011
8,Rua João Bloes Neto,Centro,Itapetininga/SP,18200-012
9,Rua Venâncio Ayres,Centro,Itapetininga/SP,18200-013
10,Rua Quintino Bocaiúva,Centro,Itapetininga/SP,18200-014
11,Praça Nove de Julho,Centro,Itapetininga/SP,18200-015
12,Rua Vila Ozi,Centro,Itapetininga/SP,18200-016
13,Rua Vila Palmira,Centro,Itapetininga/SP,18200-017
14,Rua Vila Messias,Centro,Itapetininga/SP,18200-018
15,Rua Vila Rezende,Centro,Itapetininga/SP,18200-019
16,Rua Bernardino de Campos,Centro,Itapetininga/SP,18200-020
17,Avenida Doutor Ciro Albuquerque,Centro,Itapetininga/SP,18200-021
18,Rua Major Fonseca,Centro,Itapetininga/SP,18200-022
19,Rua Coronel Clementino Matias de Oliveira,Centro,Itapetininga/SP,18200-023
20,Rua General Carneiro,Centro,Itapetininga/SP,18200-024
21,Rua Adolfo Lutz - até 153/154,Centro,Itapetininga/SP,18200-025
22,Rua Expedicionários Itapetininganos - de 1389/1390 ao fim,Centro,Itapetininga/SP,18200-026
23,Rua Benjamin Constant,Centro,Itapetininga/SP,18200-030
24,Rua Professor Francisco Valio - de 829/830 ao fim,Centro,Itapetininga/SP,18200-035
25,Rua Prudente de Moraes,Centro,Itapetininga/SP,18200-040
26,Rua Doutor Virgilio de Andrade,Centro,Itapetininga/SP,18200-045
27,Rua Doutor Virgílio de Rezende - de 581/582 ao fim,Centro,Itapetininga/SP,18200-046
28,Travessa Presidente Kennedy,Centro,Itapetininga/SP,18200-050
29,Rua João Evangelista,Centro,Itapetininga/SP,18200-055
30,Rua Major Querino Pereira de Moraes,Centro,Itapetininga/SP,18200-060
31,Rua Coronel Fernando Prestes - de 559/560 ao fim,Centro,Itapetininga/SP,18200-065
32,Rua Braz La Luna,Centro,Itapetininga/SP,18200-070
33,Rua Padre Albuquerque - de 517/518 ao fim,Centro,Itapetininga/SP,18200-075
34,Rua Cesário Mota,Centro,Itapetininga/SP,18200-080
35,Rua Jorge Ozi,Centro,Itapetininga/SP,18200-085
36,Rua Dom Joaquim,Centro,Itapetininga/SP,18200-090
37,Rua Antônio Fogaça de Almeida,Centro,Itapetininga/SP,18200-095
38,Rua Doutor Júlio Prestes - de 215/216 ao fim,Centro,Itapetininga/SP,18200-100
39,Travessa Carlos Ayres,Centro,Itapetininga/SP,18200-105
40,Rua José Bonifácio,Centro,Itapetininga/SP,18200-110
